CELL|band4_unjudgeable|WEB_SITE|AD|AD0102001|19|265|0|0
CELL|band4_unjudgeable|WEB_SITE|AD|AD0102002|18|193|1|180
CELL|band4_unjudgeable|WEB_SITE|AG|AG0013|69|946|10|3983
CELL|band4_unjudgeable|WEB_SITE|AG|AG1418|89|5240|28|13436
CELL|band4_unjudgeable|WEB_SITE|AG|AG1924|91|8481|48|24989
CELL|band4_unjudgeable|WEB_SITE|AG|AG2529|93|14331|93|43765
CELL|band4_unjudgeable|WEB_SITE|AG|AG3034|94|19346|147|69953
CELL|band4_unjudgeable|WEB_SITE|AG|AG3539|93|18939|121|53971
CELL|band4_unjudgeable|WEB_SITE|AG|AG4044|94|22107|135|62163
CELL|band4_unjudgeable|WEB_SITE|AG|AG4549|94|18919|122|56104
CELL|band4_unjudgeable|WEB_SITE|AG|AG5054|94|13193|98|47767
CELL|band4_unjudgeable|WEB_SITE|AG|AG5559|93|8054|62|29644
CELL|band4_unjudgeable|WEB_SITE|AG|AG6099|94|9864|83|43168
CELL|band4_unjudgeable|WEB_SITE|AG|AGXXXX|94|47531|121|59044
CELL|band4_unjudgeable|WEB_SITE|GN|GNF|94|59896|415|197945
CELL|band4_unjudgeable|WEB_SITE|GN|GNM|94|82045|549|258699
CELL|band4_unjudgeable|WEB_SITE|GN|GNU|94|45010|104|51345
CELL|band4_unjudgeable|WEB_SITE|SD|SDFRI0024|17|5268|20|9480
CELL|band4_unjudgeable|WEB_SITE|SD|SDMON0024|17|5935|24|11480
CELL|band4_unjudgeable|WEB_SITE|SD|SDSAT0024|17|4432|9|4350
CELL|band4_unjudgeable|WEB_SITE|SD|SDSUN0024|17|4448|14|5250
CELL|band4_unjudgeable|WEB_SITE|SD|SDTHU0024|17|5902|24|9470
CELL|band4_unjudgeable|WEB_SITE|SD|SDTUE0024|17|6293|21|9500
CELL|band4_unjudgeable|WEB_SITE|SD|SDWED0024|17|6134|25|10620
CELL|excluded_cost0|SHOPPING|AG|AG0013|4|26|0|0
CELL|excluded_cost0|SHOPPING|AG|AG1418|2|36|0|0
