adgroup_id,hour_code,region_code,media_code,imp,clk,cost,n_days
grp-a001-02-000000044108615,17,10,8753,1,1,1188,1
grp-a001-02-000000044108615,17,99,8753,1,1,1441,1
grp-a001-02-000000044108615,18,03,8753,0,1,1454,1
grp-a001-02-000000044108615,18,09,27758,1,1,1279,1
grp-a001-02-000000044108615,19,99,8753,2,1,1426,1
grp-a001-02-000000044108615,20,02,8753,2,2,2686,2
grp-a001-02-000000044108615,20,04,8753,1,1,1469,1
grp-a001-02-000000044108615,20,06,8753,2,1,1474,1
grp-a001-02-000000044108615,20,09,27758,1,1,1326,1
grp-a001-02-000000044108615,20,10,11068,3,1,1350,1
grp-a001-02-000000044108615,20,10,27758,1,1,1350,1
grp-a001-02-000000044108615,21,02,11068,2,1,1382,1
grp-a001-02-000000044108615,21,02,8753,4,1,1474,1
grp-a001-02-000000044108615,21,03,8753,1,1,1423,1
grp-a001-02-000000044108615,21,06,33421,1,1,1111,1
grp-a001-02-000000044108615,21,10,8753,1,1,1617,1
grp-a001-02-000000044108615,21,15,684926,1,1,1525,1
grp-a001-02-000000044108615,21,15,8753,1,1,1474,1
grp-a001-02-000000044108615,21,99,8753,1,1,1546,1
grp-a001-02-000000044108615,22,02,33421,2,1,1027,1
grp-a001-02-000000044108615,22,02,684926,1,1,1466,1
grp-a001-02-000000044108615,22,02,8753,1,1,1474,1
grp-a001-02-000000044108615,22,08,8753,1,1,1468,1
grp-a001-02-000000044108615,22,09,33421,1,1,1409,1
grp-a001-02-000000044108615,22,11,684926,3,1,1289,1
grp-a001-02-000000044108615,22,15,8753,2,1,1452,1
grp-a001-02-000000044108615,22,18,8753,3,1,1474,1
grp-a001-02-000000044108615,22,99,8753,1,1,1474,1
grp-a001-02-000000044108615,23,02,684926,1,1,1102,1
grp-a001-02-000000044108616,00,02,684926,1,1,2050,1
grp-a001-02-000000044108616,00,02,8753,1,1,1843,1
grp-a001-02-000000044108616,00,03,27758,1,1,1660,1
grp-a001-02-000000044108616,00,03,341893,0,1,1051,1
grp-a001-02-000000044108616,00,04,27758,1,1,1728,1
grp-a001-02-000000044108616,00,07,8753,1,1,1685,1
grp-a001-02-000000044108616,00,09,684926,1,2,3370,2
grp-a001-02-000000044108616,00,18,341898,1,1,1622,1
grp-a001-02-000000044108616,01,02,8753,1,1,1796,1
grp-a001-02-000000044108616,01,08,27758,1,1,1785,1
grp-a001-02-000000044108616,01,09,8753,3,3,5587,2
grp-a001-02-000000044108616,01,10,33421,1,1,1775,1
grp-a001-02-000000044108616,01,99,684926,4,1,1739,1
grp-a001-02-000000044108616,02,01,8753,1,1,2082,1
grp-a001-02-000000044108616,02,02,27758,1,1,1643,1
grp-a001-02-000000044108616,02,07,11068,2,1,1815,1
grp-a001-02-000000044108616,04,03,27758,1,1,1575,1
grp-a001-02-000000044108616,05,02,27758,1,1,1815,1
grp-a001-02-000000044108616,05,03,8753,2,2,3874,2
grp-a001-02-000000044108616,05,16,8753,2,1,1689,1
grp-a001-02-000000044108616,06,02,684927,6,1,2160,1
grp-a001-02-000000044108616,06,04,8753,1,1,1787,1
grp-a001-02-000000044108616,06,09,684926,1,1,1815,1
grp-a001-02-000000044108616,06,15,341893,1,1,1784,1
grp-a001-02-000000044108616,07,01,27758,2,2,3525,2
grp-a001-02-000000044108616,07,01,684925,1,1,1757,1
grp-a001-02-000000044108616,07,01,8753,2,2,4101,2
grp-a001-02-000000044108616,07,02,341893,1,1,775,1
grp-a001-02-000000044108616,07,02,684926,1,1,1630,1
grp-a001-02-000000044108616,07,02,8753,3,2,3578,2
grp-a001-02-000000044108616,07,04,8753,1,1,1764,1
grp-a001-02-000000044108616,07,09,684926,2,1,1797,1
grp-a001-02-000000044108616,07,09,8753,4,2,3275,2
grp-a001-02-000000044108616,07,15,8753,1,1,1789,1
grp-a001-02-000000044108616,07,99,8753,1,1,1774,1
grp-a001-02-000000044108616,08,02,341893,1,1,1503,1
grp-a001-02-000000044108616,08,02,684926,4,1,1996,1
grp-a001-02-000000044108616,08,03,8753,1,1,1795,1
grp-a001-02-000000044108616,08,04,341893,1,1,1735,1
grp-a001-02-000000044108616,08,08,8753,1,1,1989,1
grp-a001-02-000000044108616,08,13,27758,1,1,2143,1
grp-a001-02-000000044108616,08,13,8753,1,1,1748,1
grp-a001-02-000000044108616,09,00,27758,1,1,1815,1
grp-a001-02-000000044108616,09,02,27758,4,3,5027,2
grp-a001-02-000000044108616,09,02,8753,1,1,1796,1
grp-a001-02-000000044108616,09,08,11068,1,1,1623,1
grp-a001-02-000000044108616,09,08,27758,1,1,1623,1
grp-a001-02-000000044108616,09,08,341893,1,1,1939,1
grp-a001-02-000000044108616,09,09,11068,1,1,1350,1
grp-a001-02-000000044108616,09,09,27758,6,2,3467,2
grp-a001-02-000000044108616,09,10,8753,1,1,1518,1
grp-a001-02-000000044108616,09,11,33421,2,1,1440,1
grp-a001-02-000000044108616,09,11,684926,2,1,1808,1
grp-a001-02-000000044108616,09,13,341893,1,1,1778,1
grp-a001-02-000000044108616,09,99,8753,3,2,3983,2
grp-a001-02-000000044108616,10,01,684927,1,1,1669,1
grp-a001-02-000000044108616,10,02,341893,2,1,2086,1
grp-a001-02-000000044108616,10,02,341898,1,1,1720,1
grp-a001-02-000000044108616,10,02,684926,2,1,1810,1
grp-a001-02-000000044108616,10,02,8753,2,2,3609,2
grp-a001-02-000000044108616,10,03,8753,1,1,2013,1
grp-a001-02-000000044108616,10,07,8753,2,2,3593,2
grp-a001-02-000000044108616,10,09,11068,3,1,2160,1
grp-a001-02-000000044108616,10,09,27758,2,1,1621,1
grp-a001-02-000000044108616,10,09,684926,3,1,1806,1
grp-a001-02-000000044108616,10,09,8753,1,1,1600,1
grp-a001-02-000000044108616,10,10,27758,1,1,2189,1
grp-a001-02-000000044108616,10,10,341898,1,1,1495,1
grp-a001-02-000000044108616,10,10,8753,1,1,1490,1
grp-a001-02-000000044108616,10,14,8753,2,1,1815,1
grp-a001-02-000000044108616,10,99,684926,4,2,3188,2
grp-a001-02-000000044108616,10,99,8753,7,1,1942,1
grp-a001-02-000000044108616,11,01,27758,1,1,1632,1
grp-a001-02-000000044108616,11,02,27758,3,3,5207,3
grp-a001-02-000000044108616,11,02,33421,3,1,2058,1
grp-a001-02-000000044108616,11,08,11068,1,1,1779,1
grp-a001-02-000000044108616,11,08,8753,2,2,3610,2
grp-a001-02-000000044108616,11,09,27758,1,1,1749,1
grp-a001-02-000000044108616,11,11,8753,1,1,1745,1
grp-a001-02-000000044108616,11,12,684926,1,1,1694,1
grp-a001-02-000000044108616,11,14,27758,1,1,1786,1
grp-a001-02-000000044108616,11,16,341893,1,1,1348,1
grp-a001-02-000000044108616,11,18,684926,8,1,1767,1
grp-a001-02-000000044108616,11,99,684926,2,1,2046,1
grp-a001-02-000000044108616,11,99,8753,2,1,1588,1
