adgroup_id|mall_product_id|channel_product_no|status_type|whole_category_name|sale_price|discounted_price|stock_quantity
grp-a001-02-000000043610925|10447230320|10447230320|SALE|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|12900|9700|996
grp-a001-02-000000043610925|10523622764|10523622764|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19200|17800|0
grp-a001-02-000000043610925|10523645021|10523645021|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|27800|23700|821
grp-a001-02-000000043610925|10537357957||||||
grp-a001-02-000000043610925|10567229718|10567229718|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|12200|10800|940
grp-a001-02-000000043610925|10567300876|10567300876|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|23800|21700|781
grp-a001-02-000000043610925|10567336655|10567336655|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|14800|13800|922
grp-a001-02-000000043610925|10578185038|10578185038|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|6900|6400|942
grp-a001-02-000000043610925|10578197070|10578197070|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|6900|6400|959
grp-a001-02-000000043610925|6418990211|6418990211|SALE|스포츠/레저>골프>골프필드용품>기타필드용품|19000|12200|27
grp-a001-02-000000043610925|7119777823|7119777823|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19900|18900|6974
grp-a001-02-000000043610925|8795812978|8795812978|SALE|디지털/가전>휴대폰액세서리>기타휴대폰액세서리|8900|3800|990
grp-a001-02-000000043610925|8795922629|8795922629|OUTOFSTOCK|디지털/가전>휴대폰액세서리>기타휴대폰액세서리|14800|7400|0
grp-a001-02-000000043610925|8927879889|8927879889|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|22900|16800|529
grp-a001-02-000000043610925|9205714557|9205714557|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|12900|9900|9981
grp-a001-02-000000043610925|9238392879|9238392879|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|23000|16800|31996
grp-a001-02-000000043610925|9243662948||||||
