adgroup_id,adgroup_name,campaign_name,campaign_type,model,cost,conv_amt,total_ad_profit,residual_v1,residual_v2,baseline_v1_daily,baseline_v2_used_fallback,n_days,n_baseline_days,band_total,band_baseline_only,baseline_unavailable,excess_F2,excess_F1b,excess_F1a,excess_연휴,excess_공휴일,excess_휴가창,excess_주말,excess_F3
grp-a001-01-000000060825797,S9울트라_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,갤럭시탭 S9 울트라,33348,87500,17791.68,13037.41,5399.79,78.5386,False,166,97,band1,band1,False,0.0,0.0,0.0,-314.15,-1582.77,-3355.31,10006.51,0.0
grp-a001-02-000000052193550,01. 갤럭시_S25,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,갤럭시 S25 (+/울트라/FE),177749,226900,-45136.49,13418.34,17531.49,38.5584,False,348,205,band3,band2,False,0.0,0.0,0.0,-752.79,2985.86,-31645.57,-29142.34,0.0
grp-a001-01-000000060825654,A9_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,,20183,31800,-1597.38,13595.95,9484.96,81.9033,False,166,97,band3,band1,False,0.0,0.0,0.0,-327.61,-573.32,-5911.97,-8380.42,0.0
grp-a001-02-000000054607977,00. 아이폰_17 일미리,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,아이폰17(추정 매핑),65442,208690,56527.61,13823.21,19909.63,46.5428,True,297,82,band1,band1,False,-9487.58,0.0,0.0,-1996.17,-418.89,-977.4,-16348.37,71932.8
grp-a001-01-000000046839232,01. 갤럭시탭_A9,○ 02. 파워링크_PC,WEB_SITE,,12630,47700,15248.43,14287.75,16475.9,75.5966,False,189,110,band1,band1,False,0.0,0.0,0.0,-507.98,-377.98,-3464.32,5310.97,0.0
grp-a001-01-000000060763689,S22_사생활보호,○ 갤럭시 파워링크,WEB_SITE,갤럭시 S22 (+/울트라),57056,143100,26579.3,14330.97,57954.04,87.384,False,164,97,band1,band1,False,0.0,0.0,0.0,7033.28,6393.51,-9532.06,8353.61,0.0
grp-a001-01-000000047166586,01. 갤럭시S24_6H 사생활보호,○ 02. 파워링크_PC,WEB_SITE,갤럭시 S24 (+/울트라),9988,33800,9766.53,15027.65,18434.69,100.8567,False,149,101,band1,band1,False,0.0,0.0,0.0,-100.86,-201.71,-1731.14,-3227.42,0.0
grp-a001-02-000000059830530,14프로맥스,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,,207093,330200,-14106.44,15028.6,12471.76,83.0309,True,181,105,band3,band2,False,0.0,0.0,0.0,-332.12,-7734.25,-3312.68,-17755.99,0.0
grp-a001-01-000000042724551,00. 태블릿_종이질감필름,○ 02. 파워링크_MO,WEB_SITE,,35360,79500,11104.06,16481.81,11197.06,86.2922,False,191,111,band1,band1,False,0.0,0.0,0.0,-1531.46,-1471.46,4141.8,-6516.63,0.0
grp-a001-01-000000038769333,02. 아이폰_이전기종,○ 02. 파워링크_PC,WEB_SITE,,43680,64500,-5982.75,16604.8,13338.05,88.3234,False,188,109,band3,band1,False,0.0,0.0,0.0,-441.62,-641.62,-10099.76,-11404.55,0.0
