adgroup_id,campaign_type,cost,conv_amt,bep_g,product_count,ad_profit_account,ad_profit_prod,band_account,band_prod,diverges
grp-a001-01-000000056068629,WEB_SITE,18040,0,,,-18040.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000058445222,WEB_SITE,52700,0,,,-52700.0,,band3,not_judged_no_bep,False
grp-a001-01-000000058445534,WEB_SITE,19460,30510,,,-1628.32,,band3,not_judged_no_bep,False
grp-a001-01-000000059039599,WEB_SITE,4670,15900,,,4622.81,,band1,not_judged_no_bep,False
grp-a001-01-000000059040364,WEB_SITE,13020,0,,,-13020.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060480003,WEB_SITE,269067,760100,,,175176.13,,band1,not_judged_no_bep,False
grp-a001-01-000000060480311,WEB_SITE,271111,642800,,,104575.73,,band1,not_judged_no_bep,False
grp-a001-01-000000060480313,WEB_SITE,778145,1828700,,,290645.18,,band1,not_judged_no_bep,False
grp-a001-01-000000060480315,WEB_SITE,321674,759100,,,121984.68,,band1,not_judged_no_bep,False
grp-a001-01-000000060480386,WEB_SITE,387310,914100,,,146938.98,,band1,not_judged_no_bep,False
grp-a001-01-000000060480649,WEB_SITE,130651,349640,,,73697.33,,band1,not_judged_no_bep,False
grp-a001-01-000000060480724,WEB_SITE,673901,1256800,,,60640.2,,band2,not_judged_no_bep,False
grp-a001-01-000000060480725,WEB_SITE,396710,791840,,,66083.69,,band2,not_judged_no_bep,False
grp-a001-01-000000060480727,WEB_SITE,211112,389500,,,16532.65,,band2,not_judged_no_bep,False
grp-a001-01-000000060480728,WEB_SITE,524119,839800,,,-33294.92,,band3,not_judged_no_bep,False
grp-a001-01-000000060481114,WEB_SITE,145741,413400,,,95872.09,,band1,not_judged_no_bep,False
grp-a001-01-000000060481115,WEB_SITE,72851,143100,,,10784.3,,band2,not_judged_no_bep,False
grp-a001-01-000000060481178,WEB_SITE,291777,518900,,,11495.94,,band2,not_judged_no_bep,False
grp-a001-01-000000060481180,WEB_SITE,167997,538200,,,146555.89,,band1,not_judged_no_bep,False
grp-a001-01-000000060481584,WEB_SITE,25769,63600,,,11402.24,,band1,not_judged_no_bep,False
grp-a001-01-000000060481588,WEB_SITE,58289,270300,,,99688.79,,band1,not_judged_no_bep,False
grp-a001-01-000000060481589,WEB_SITE,67447,124200,,,5142.13,,band2,not_judged_no_bep,False
grp-a001-01-000000060481590,WEB_SITE,127054,159000,,,-34125.89,,band3,not_judged_no_bep,False
grp-a001-01-000000060481591,WEB_SITE,64914,127200,,,9428.49,,band2,not_judged_no_bep,False
grp-a001-01-000000060489568,WEB_SITE,66839,111300,,,-1789.32,,band3,not_judged_no_bep,False
grp-a001-01-000000060489686,WEB_SITE,62216,95400,,,-6459.13,,band3,not_judged_no_bep,False
grp-a001-01-000000060489687,WEB_SITE,26872,57600,,,6792.52,,band1,not_judged_no_bep,False
grp-a001-01-000000060530499,WEB_SITE,188185,469100,,,85982.15,,band1,not_judged_no_bep,False
grp-a001-01-000000060531067,WEB_SITE,12607,0,,,-12607.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060531082,WEB_SITE,25082,105800,,,36753.18,,band1,not_judged_no_bep,False
grp-a001-01-000000060531708,WEB_SITE,17393,0,,,-17393.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060531709,WEB_SITE,249015,594200,,,98267.29,,band1,not_judged_no_bep,False
grp-a001-01-000000060531710,WEB_SITE,88925,164200,,,7042.27,,band2,not_judged_no_bep,False
grp-a001-01-000000060531711,WEB_SITE,284354,413800,,,-42507.13,,band3,not_judged_no_bep,False
grp-a001-01-000000060531781,WEB_SITE,698415,938800,,,-149730.02,,band3,not_judged_no_bep,False
grp-a001-01-000000060548659,WEB_SITE,72588,197100,,,42607.79,,band1,not_judged_no_bep,False
grp-a001-01-000000060548667,WEB_SITE,54391,89000,,,-2374.64,,band3,not_judged_no_bep,False
grp-a001-01-000000060548974,WEB_SITE,101128,224700,,,30198.71,,band1,not_judged_no_bep,False
grp-a001-01-000000060554859,WEB_SITE,137784,376900,,,82496.54,,band1,not_judged_no_bep,False
grp-a001-01-000000060554861,WEB_SITE,123763,267100,,,32344.54,,band1,not_judged_no_bep,False
grp-a001-01-000000060554862,WEB_SITE,1172017,2490000,,,283272.3,,band1,not_judged_no_bep,False
grp-a001-01-000000060554863,WEB_SITE,234971,416600,,,8512.34,,band2,not_judged_no_bep,False
grp-a001-01-000000060558824,WEB_SITE,21886,49800,,,7219.79,,band1,not_judged_no_bep,False
grp-a001-01-000000060603885,WEB_SITE,324980,667600,,,65201.18,,band2,not_judged_no_bep,False
grp-a001-01-000000060603888,WEB_SITE,70542,71400,,,-28812.02,,band3,not_judged_no_bep,False
grp-a001-01-000000060603890,WEB_SITE,93358,372100,,,124117.16,,band1,not_judged_no_bep,False
grp-a001-01-000000060603891,WEB_SITE,235996,421500,,,10351.17,,band2,not_judged_no_bep,False
grp-a001-01-000000060604009,WEB_SITE,2874,0,,,-2874.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060604010,WEB_SITE,641,0,,,-641.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060604011,WEB_SITE,31404,18900,,,-20357.83,,band3,not_judged_no_bep,False
grp-a001-01-000000060604013,WEB_SITE,13382,15900,,,-4089.19,,band3,not_judged_no_bep,False
grp-a001-01-000000060604014,WEB_SITE,136770,236700,,,1570.15,,band2,not_judged_no_bep,False
grp-a001-01-000000060604015,WEB_SITE,174768,63600,,,-137596.76,,band3,not_judged_no_bep,False
grp-a001-01-000000060604017,WEB_SITE,65514,168100,,,32732.64,,band1,not_judged_no_bep,False
grp-a001-01-000000060604019,WEB_SITE,48287,71600,,,-6440.13,,band3,not_judged_no_bep,False
grp-a001-01-000000060604020,WEB_SITE,27142,18900,,,-16095.83,,band3,not_judged_no_bep,False
grp-a001-01-000000060604022,WEB_SITE,117923,216800,,,8786.53,,band2,not_judged_no_bep,False
grp-a001-01-000000060604025,WEB_SITE,42929,36800,,,-21421.11,,band3,not_judged_no_bep,False
grp-a001-01-000000060604027,WEB_SITE,3451,0,,,-3451.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060604029,WEB_SITE,233285,366000,,,-19375.01,,band3,not_judged_no_bep,False
grp-a001-01-000000060604032,WEB_SITE,340811,592200,,,5302.38,,band2,not_judged_no_bep,False
grp-a001-01-000000060604034,WEB_SITE,167459,363900,,,45223.64,,band1,not_judged_no_bep,False
grp-a001-01-000000060604037,WEB_SITE,17190,18900,,,-6143.83,,band3,not_judged_no_bep,False
grp-a001-01-000000060604039,WEB_SITE,183166,265500,,,-27993.59,,band3,not_judged_no_bep,False
grp-a001-01-000000060604040,WEB_SITE,121642,241600,,,19561.97,,band1,not_judged_no_bep,False
grp-a001-01-000000060604043,WEB_SITE,102084,281500,,,62439.67,,band1,not_judged_no_bep,False
grp-a001-01-000000060604044,WEB_SITE,24214,76600,,,20555.14,,band1,not_judged_no_bep,False
grp-a001-01-000000060609365,WEB_SITE,24818,31800,,,-6232.38,,band3,not_judged_no_bep,False
grp-a001-01-000000060610033,WEB_SITE,75880,193800,,,37387.1,,band1,not_judged_no_bep,False
grp-a001-01-000000060610036,WEB_SITE,66873,143100,,,16762.3,,band1,not_judged_no_bep,False
grp-a001-01-000000060610039,WEB_SITE,70629,184800,,,37378.01,,band1,not_judged_no_bep,False
grp-a001-01-000000060610042,WEB_SITE,38846,92400,,,15157.51,,band1,not_judged_no_bep,False
grp-a001-01-000000060610047,WEB_SITE,25135,111300,,,39914.68,,band1,not_judged_no_bep,False
grp-a001-01-000000060610050,WEB_SITE,9116,15900,,,176.81,,band2,not_judged_no_bep,False
grp-a001-01-000000060612108,WEB_SITE,20285,79500,,,26179.06,,band1,not_judged_no_bep,False
grp-a001-01-000000060612109,WEB_SITE,28729,95400,,,27027.87,,band1,not_judged_no_bep,False
grp-a001-01-000000060612110,WEB_SITE,28675,79500,,,17789.06,,band1,not_judged_no_bep,False
grp-a001-01-000000060612113,WEB_SITE,4792,15900,,,4500.81,,band1,not_judged_no_bep,False
grp-a001-01-000000060612114,WEB_SITE,72242,190800,,,39271.73,,band1,not_judged_no_bep,False
grp-a001-01-000000060612115,WEB_SITE,21669,33600,,,-2031.36,,band3,not_judged_no_bep,False
grp-a001-01-000000060612840,WEB_SITE,15738,15900,,,-6445.19,,band3,not_judged_no_bep,False
grp-a001-01-000000060612841,WEB_SITE,28061,58700,,,6246.42,,band1,not_judged_no_bep,False
grp-a001-01-000000060612842,WEB_SITE,10454,0,,,-10454.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000060612843,WEB_SITE,27099,31800,,,-8513.38,,band3,not_judged_no_bep,False
