adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000046973844,02.아이패드_에어 4/5세대_6H BLC,○ 02. 파워링크_MO,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,11390,False
grp-a001-01-000000046975770,01. 갤럭시탭_S7 시리즈_6H BLC,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,990,False
grp-a001-01-000000046976135,02.아이패드_에어 4/5세대_6H BLC,○ 02. 파워링크_PC,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,1390,False
grp-a001-01-000000046980878,01. 갤럭시S21_지문방지,○ 02. 파워링크_PC,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,115740,False
grp-a001-01-000000049865057,"01. 갤럭시 플립1,2",○ 02. 파워링크_MO,WEB_SITE,galaxy_z_flip:1-2,,,,,,unresolved,True,28280,False
grp-a001-01-000000058445222,14. 트라이폴드,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,52700,False
grp-a001-01-000000058445534,14. 트라이폴드,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,19460,False
grp-a001-01-000000059039599,00. 아이폰SE2 SE3,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_SE2,,,,,,unresolved,True,4670,False
grp-a001-01-000000059040364,00. 아이폰SE2 SE3,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_SE2,,,,,,unresolved,True,13020,False
grp-a001-01-000000060481584,S23FE_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S23FE_unresolved,,,,,,unresolved,True,26906,False
grp-a001-01-000000060481588,S21_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,58659,False
grp-a001-01-000000060481589,S21플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,68390,False
grp-a001-01-000000060481590,S21울트라_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,142049,False
grp-a001-01-000000060481591,S20플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,66311,False
grp-a001-01-000000060489568,S20_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,67692,False
grp-a001-01-000000060489686,S20울트라_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,67950,False
grp-a001-01-000000060489687,S20FE_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,28126,False
grp-a001-01-000000060530499,S25FE_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S25FE_unresolved,,,,,,unresolved,True,192263,False
grp-a001-01-000000060531067,플립1_지문방지,○ 갤럭시 파워링크,WEB_SITE,galaxy_z_flip:1-2,,,,,,unresolved,True,13453,False
grp-a001-01-000000060531082,플립2_지문방지,○ 갤럭시 파워링크,WEB_SITE,galaxy_z_flip:1-2,,,,,,unresolved,True,25836,False
grp-a001-01-000000060548659,폴드2_지문방지,○ 갤럭시 파워링크,WEB_SITE,galaxy_z_fold:1-2,,,,,,unresolved,True,77048,False
grp-a001-01-000000060554861,폴드SE_지문방지,○ 갤럭시 파워링크,WEB_SITE,galaxy_z_fold:SE_unresolved,,,,,,unresolved,True,124972,False
grp-a001-01-000000060604009,아이폰12_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,2874,False
