adgroup_id,campaign_id,campaign_type,cost,conv_amt,conv_cnt,clk,n_days,band,roas,aov_used,aov_layer
grp-a001-02-000000046842732,cmp-a001-02-000000008869872,SHOPPING,2670,0,0,2,6,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000046843727,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,2,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046843728,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,7,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046843730,cmp-a001-02-000000008869872,SHOPPING,3070,31800,2,5,7,band1,10.35830618892508,15900.0,adgroup
grp-a001-02-000000046843732,cmp-a001-02-000000008869872,SHOPPING,24380,15900,1,15,7,band3,0.6521739130434783,15900.0,adgroup
grp-a001-02-000000046843733,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,7,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046843734,cmp-a001-02-000000008869872,SHOPPING,4850,0,0,3,4,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000046843735,cmp-a001-02-000000008869872,SHOPPING,26580,15900,1,17,6,band3,0.5981941309255079,15900.0,adgroup
grp-a001-02-000000046843736,cmp-a001-02-000000008869872,SHOPPING,45250,77910,5,29,9,band2,1.721767955801105,15582.0,adgroup
grp-a001-02-000000047005161,cmp-a001-02-000000008902804,SHOPPING,416611,2166620,155,979,357,band1,5.200582797861794,13978.193548387097,adgroup
grp-a001-02-000000047005364,cmp-a001-02-000000008902804,SHOPPING,5496128,11988900,679,4433,357,band1,2.1813356603048546,17656.701030927834,adgroup
grp-a001-02-000000047076131,cmp-a001-02-000000008883273,SHOPPING,174482,98820,5,102,347,band3,0.5663621462385805,19764.0,adgroup
grp-a001-02-000000047076159,cmp-a001-02-000000008883273,SHOPPING,265678,318410,17,176,357,band3,1.1984808678174332,18730.0,adgroup
grp-a001-02-000000047076722,cmp-a001-02-000000008883273,SHOPPING,516809,922850,54,327,357,band2,1.7856693672130324,17089.814814814814,adgroup
grp-a001-02-000000047076723,cmp-a001-02-000000008883273,SHOPPING,270183,318560,19,164,353,band3,1.1790527161220359,16766.315789473683,adgroup
grp-a001-02-000000047076737,cmp-a001-02-000000008883273,SHOPPING,246308,121300,6,135,347,band3,0.4924728388846485,20216.666666666668,adgroup
grp-a001-02-000000047076738,cmp-a001-02-000000008883273,SHOPPING,48542,44600,3,29,268,band3,0.9187919739606938,14866.666666666666,adgroup
grp-a001-02-000000047076745,cmp-a001-02-000000008883255,SHOPPING,1125757,2749210,158,765,361,band1,2.4420989609658212,17400.063291139242,adgroup
grp-a001-02-000000047076797,cmp-a001-02-000000008883255,SHOPPING,1472445,3639920,197,932,370,band1,2.4720244219648273,18476.751269035532,adgroup
grp-a001-02-000000047076945,cmp-a001-02-000000008883255,SHOPPING,1385463,2394350,135,826,370,band2,1.7281948345065874,17735.925925925927,adgroup
grp-a001-02-000000047076946,cmp-a001-02-000000008883255,SHOPPING,1673226,3798840,216,1130,370,band1,2.270368736799452,17587.222222222223,adgroup
grp-a001-02-000000047077161,cmp-a001-02-000000008883255,SHOPPING,1734428,4417660,247,1338,370,band1,2.54704144536412,17885.263157894737,adgroup
grp-a001-02-000000047485224,cmp-a001-02-000000008425541,SHOPPING,5847026,11785240,719,3967,354,band2,2.015595620748052,16391.15438108484,adgroup
grp-a001-02-000000047485408,cmp-a001-02-000000008425541,SHOPPING,452749,439910,22,373,186,band3,0.9716421240024826,19995.909090909092,adgroup
grp-a001-02-000000048079095,cmp-a001-02-000000008514959,SHOPPING,302522,353920,21,208,335,band3,1.1698983875552853,16853.333333333332,adgroup
grp-a001-02-000000048079128,cmp-a001-02-000000008723288,SHOPPING,25980,0,0,38,153,band4_unjudgeable,,21256.344537815126,campaign
grp-a001-02-000000049350416,cmp-a001-02-000000008883273,SHOPPING,358788,268700,15,207,357,band3,0.7489102199627635,17913.333333333332,adgroup
grp-a001-02-000000049353543,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,7,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000049354013,cmp-a001-02-000000008883273,SHOPPING,294813,150410,9,176,347,band3,0.5101878139702116,16712.222222222223,adgroup
grp-a001-02-000000051215431,cmp-a001-02-000000008902804,SHOPPING,180,14220,1,1,32,band1,79.0,14220.0,adgroup
grp-a001-02-000000051215435,cmp-a001-02-000000008902804,SHOPPING,0,0,0,0,26,excluded_cost0,,16969.74850299401,campaign
grp-a001-02-000000052176555,cmp-a001-02-000000009575494,SHOPPING,4104520,7924220,454,3120,164,band2,1.9306082075370568,17454.229074889867,adgroup
grp-a001-02-000000052176575,cmp-a001-02-000000009575494,SHOPPING,8705950,17894020,914,6425,165,band1,2.055378218344925,19577.702407002187,adgroup
grp-a001-02-000000052193550,cmp-a001-02-000000009577882,SHOPPING,177749,226900,12,353,350,band3,1.2765191365352266,18908.333333333332,adgroup
grp-a001-02-000000052193556,cmp-a001-02-000000009577882,SHOPPING,105241,135430,7,182,323,band3,1.2868558831634058,19347.14285714286,adgroup
grp-a001-02-000000052193613,cmp-a001-02-000000009577882,SHOPPING,92332,113920,9,147,277,band3,1.233808430446649,12657.777777777777,adgroup
grp-a001-02-000000052193617,cmp-a001-02-000000009577882,SHOPPING,563002,785660,51,804,308,band3,1.3954834973943253,15405.098039215687,adgroup
grp-a001-02-000000052193624,cmp-a001-02-000000009577882,SHOPPING,459832,536740,32,681,311,band3,1.1672523878285983,16773.125,adgroup
grp-a001-02-000000052193631,cmp-a001-02-000000009577882,SHOPPING,757907,991820,69,1085,349,band3,1.308630214525001,14374.202898550724,adgroup
grp-a001-02-000000052350928,cmp-a001-02-000000008339814,SHOPPING,7920,130600,7,44,65,band1,16.48989898989899,18657.14285714286,adgroup
grp-a001-02-000000052350984,cmp-a001-02-000000008336372,SHOPPING,1267785,4273640,239,4436,357,band1,3.370950121668895,17881.33891213389,adgroup
grp-a001-02-000000052819145,cmp-a001-02-000000009577882,SHOPPING,1298273,1595220,100,2005,319,band3,1.2287246210927902,15952.2,adgroup
grp-a001-02-000000052959049,cmp-a001-02-000000009577882,SHOPPING,727237,422370,22,850,293,band3,0.5807872811751877,19198.636363636364,adgroup
grp-a001-02-000000053253939,cmp-a001-02-000000009577882,SHOPPING,53520,89400,3,84,120,band3,1.6704035874439462,29800.0,adgroup
grp-a001-02-000000053481812,cmp-a001-02-000000008869872,SHOPPING,208907,190000,12,171,329,band3,0.9094956128803726,15833.333333333334,adgroup
grp-a001-02-000000053481831,cmp-a001-02-000000008869872,SHOPPING,53293,0,0,42,303,band3,0.0,15868.412698412698,campaign
grp-a001-02-000000053481892,cmp-a001-02-000000008869872,SHOPPING,61730,15900,1,43,312,band3,0.2575733030941196,15900.0,adgroup
grp-a001-02-000000053481936,cmp-a001-02-000000008869872,SHOPPING,18950,0,0,13,80,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000053481974,cmp-a001-02-000000008869872,SHOPPING,84653,48700,3,60,262,band3,0.5752897121188854,16233.333333333334,adgroup
grp-a001-02-000000053482043,cmp-a001-02-000000008869872,SHOPPING,64490,63600,4,46,320,band3,0.9861994107613583,15900.0,adgroup
grp-a001-02-000000053482102,cmp-a001-02-000000008869872,SHOPPING,106573,0,0,77,318,band3,0.0,15868.412698412698,campaign
grp-a001-02-000000053482158,cmp-a001-02-000000008869872,SHOPPING,141411,127400,8,100,303,band3,0.900920013294581,15925.0,adgroup
grp-a001-02-000000053482203,cmp-a001-02-000000008869872,SHOPPING,326533,412600,26,252,320,band3,1.2635782600839731,15869.23076923077,adgroup
grp-a001-02-000000054131225,cmp-a001-02-000000008452546,SHOPPING,1360,0,0,1,3,band4_unjudgeable,,16317.64405543399,campaign
grp-a001-02-000000054204201,cmp-a001-02-000000009577882,SHOPPING,857037,754470,33,1149,184,band3,0.8803237199794175,22862.727272727272,adgroup
grp-a001-02-000000054212607,cmp-a001-02-000000008336372,SHOPPING,895614,1247450,72,2881,316,band3,1.392843345459093,17325.694444444445,adgroup
grp-a001-02-000000054282282,cmp-a001-02-000000009577882,SHOPPING,109352,107200,4,140,309,band3,0.9803204330967884,26800.0,adgroup
grp-a001-02-000000054403336,cmp-a001-02-000000009577882,SHOPPING,210190,23800,1,297,45,band3,0.11323088634092963,23800.0,adgroup
grp-a001-02-000000054530371,cmp-a001-02-000000008425541,SHOPPING,1948527,3142760,188,1234,295,band3,1.612890147275352,16716.808510638297,adgroup
grp-a001-02-000000054536931,cmp-a001-02-000000008425541,SHOPPING,1760957,3477370,188,1205,305,band2,1.974704663430169,18496.64893617021,adgroup
grp-a001-02-000000054537415,cmp-a001-02-000000008425541,SHOPPING,1073844,1771140,99,763,299,band3,1.6493457150200588,17890.303030303032,adgroup
grp-a001-02-000000054537529,cmp-a001-02-000000008425541,SHOPPING,4554228,9528550,594,2762,301,band1,2.092242636951861,16041.329966329966,adgroup
grp-a001-02-000000054537533,cmp-a001-02-000000008425541,SHOPPING,1510724,2926540,175,930,302,band2,1.937177141555969,16723.085714285713,adgroup
grp-a001-02-000000054537767,cmp-a001-02-000000008425541,SHOPPING,1969008,4448850,218,1362,306,band1,2.2594372394627142,20407.56880733945,adgroup
grp-a001-02-000000054538147,cmp-a001-02-000000008425541,SHOPPING,2469065,5122030,316,1481,305,band1,2.0744816357609053,16208.95569620253,adgroup
grp-a001-02-000000054607977,cmp-a001-02-000000009577882,SHOPPING,65442,208690,9,142,299,band1,3.1889306561535404,23187.777777777777,adgroup
grp-a001-02-000000054608016,cmp-a001-02-000000009577882,SHOPPING,328215,94080,5,494,299,band3,0.28664137836479137,18816.0,adgroup
grp-a001-02-000000054617822,cmp-a001-02-000000009793536,SHOPPING,6268292,10924080,559,3208,122,band2,1.74275225212865,19542.182468694096,adgroup
grp-a001-02-000000054617868,cmp-a001-02-000000009793536,SHOPPING,1764560,2289030,120,1134,175,band3,1.297224237203609,19075.25,adgroup
grp-a001-02-000000055045417,cmp-a001-02-000000008425541,SHOPPING,795618,1073960,68,551,286,band3,1.3498437692460452,15793.529411764706,adgroup
grp-a001-02-000000055074537,cmp-a001-02-000000008757089,SHOPPING,881610,1532510,85,676,307,band2,1.7383083222740214,18029.529411764706,adgroup
grp-a001-02-000000055074671,cmp-a001-02-000000008551921,SHOPPING,428637,795400,45,446,294,band2,1.8556494189722306,17675.555555555555,adgroup
grp-a001-02-000000055087285,cmp-a001-02-000000008883255,SHOPPING,694968,1485850,80,542,306,band1,2.1380121099100964,18573.125,adgroup
grp-a001-02-000000055091017,cmp-a001-02-000000009793536,SHOPPING,490,0,0,1,2,band4_unjudgeable,,19459.661266568484,campaign
grp-a001-02-000000055116659,cmp-a001-02-000000008339814,SHOPPING,372172,1161070,76,1059,292,band1,3.1197134658168806,15277.236842105263,adgroup
grp-a001-02-000000055116668,cmp-a001-02-000000008339814,SHOPPING,264541,1215900,53,491,293,band1,4.5962629611288985,22941.509433962263,adgroup
grp-a001-02-000000055116672,cmp-a001-02-000000008339814,SHOPPING,132920,523920,28,287,294,band1,3.941619018958772,18711.428571428572,adgroup
