band,ctype,blk,pc,mob,cost,imp,clk,bcost
band1,WEB_SITE,6,0,1,0,0,0,410460.0
band1,WEB_SITE,6,0,1,0,0,0,982310.0
band1,WEB_SITE,6,0,1,0,0,0,186005.0
band3,WEB_SITE,6,0,1,0,0,0,99870.0
band3,WEB_SITE,6,0,1,0,0,0,52700.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,13020.0
band1,WEB_SITE,4,1,1,0,0,0,548772.0
band1,WEB_SITE,0,1,1,0,0,0,42250.0
band1,WEB_SITE,2,1,1,0,0,0,34301.0
band3,WEB_SITE,2,1,1,0,0,0,179552.0
band3,WEB_SITE,2,1,1,0,0,0,69647.0
band1,WEB_SITE,2,1,1,0,0,0,31243.0
band1,WEB_SITE,2,1,1,0,0,0,327926.0
band1,WEB_SITE,6,1,1,0,0,0,270117.0
band1,WEB_SITE,6,1,1,0,0,0,273471.0
band1,WEB_SITE,6,1,1,0,0,0,781355.0
band1,WEB_SITE,6,1,1,0,0,0,321674.0
band1,WEB_SITE,6,1,1,0,0,0,388490.0
band1,WEB_SITE,6,1,1,0,0,0,130651.0
band2,WEB_SITE,6,1,1,0,0,0,677211.0
band2,WEB_SITE,6,1,1,0,0,0,397240.0
band2,WEB_SITE,6,1,1,0,0,0,211112.0
band3,WEB_SITE,6,1,1,0,0,0,526609.0
band1,WEB_SITE,6,1,1,0,0,0,145741.0
band2,WEB_SITE,6,1,1,0,0,0,72851.0
band2,WEB_SITE,6,1,1,0,0,0,291777.0
band1,WEB_SITE,6,1,1,0,0,0,167997.0
band1,WEB_SITE,6,1,1,0,0,0,25769.0
band1,WEB_SITE,6,1,1,0,0,0,58659.0
band2,WEB_SITE,6,1,1,0,0,0,67447.0
band3,WEB_SITE,6,1,1,0,0,0,127534.0
band2,WEB_SITE,6,1,1,0,0,0,64914.0
band3,WEB_SITE,6,1,1,0,0,0,66839.0
band3,WEB_SITE,6,1,1,0,0,0,62216.0
band1,WEB_SITE,6,1,1,0,0,0,26872.0
band1,WEB_SITE,6,1,1,0,0,0,188185.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,12607.0
band1,WEB_SITE,6,1,1,0,0,0,25082.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,17393.0
band1,WEB_SITE,6,1,1,0,0,0,250645.0
band2,WEB_SITE,6,1,1,0,0,0,88925.0
band3,WEB_SITE,6,1,1,0,0,0,284354.0
band3,WEB_SITE,6,1,1,0,0,0,700065.0
band1,WEB_SITE,6,1,1,0,0,0,72588.0
band3,WEB_SITE,6,1,1,0,0,0,54391.0
band1,WEB_SITE,6,1,1,0,0,0,101898.0
band1,WEB_SITE,6,1,1,0,0,0,138444.0
band1,WEB_SITE,6,1,1,0,0,0,123763.0
band1,WEB_SITE,6,1,1,0,0,0,1177317.0
band2,WEB_SITE,6,1,1,0,0,0,234971.0
band1,WEB_SITE,6,1,1,0,0,0,21886.0
band3,WEB_SITE,6,1,1,0,0,0,24818.0
band1,WEB_SITE,6,1,1,0,0,0,75880.0
band1,WEB_SITE,6,1,1,0,0,0,66873.0
band1,WEB_SITE,6,1,1,0,0,0,70629.0
band1,WEB_SITE,6,1,1,0,0,0,39366.0
band1,WEB_SITE,6,1,1,0,0,0,25135.0
band2,WEB_SITE,6,1,1,0,0,0,9116.0
band1,WEB_SITE,6,1,1,0,0,0,20285.0
band1,WEB_SITE,6,1,1,0,0,0,28729.0
band1,WEB_SITE,6,1,1,0,0,0,28675.0
band1,WEB_SITE,6,1,1,0,0,0,4792.0
band1,WEB_SITE,6,1,1,0,0,0,73032.0
band3,WEB_SITE,6,1,1,0,0,0,21669.0
band3,WEB_SITE,6,1,1,0,0,0,15738.0
band1,WEB_SITE,6,1,1,0,0,0,28061.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,10454.0
band3,WEB_SITE,6,1,1,0,0,0,27799.0
band2,WEB_SITE,6,1,1,0,0,0,101005.0
band3,WEB_SITE,6,1,1,0,0,0,148884.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,11556.0
band3,WEB_SITE,6,1,1,0,0,0,13971.0
band1,WEB_SITE,6,1,1,0,0,0,17803.0
band3,WEB_SITE,6,1,1,0,0,0,24184.0
band1,WEB_SITE,6,1,1,0,0,0,23081.0
