발주일,발주번호,상품번호,상품명,발송수량,입고수량,미입고수량,매입단가,미입고금액,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급
2026-03-25,127566387,65314216,"오하이 전면 3D 풀커버 TPU 지문방지 무광택 필름 + 부착 가이드툴, 아이폰 17, 3매입 1세트",1,0,1,9600,9600,44984115,461977832072,2026-03-27 19:05,2026-03-28 08:35,,집하+도착
2026-03-27,127711266,13906323,오하이 전면 3D 풀커버 TPU 지문방지 액정보호필름 3p + 부착 가이드툴 세트 갤럭시S21울트라 1세트,1,0,1,9600,9600,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2026-03-27,127711266,41911893,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24플러스, 1세트",1,0,1,9600,9600,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2026-06-02,133219375,65314217,"오하이 전면 3D 풀커버 TPU 지문방지 무광택 필름 + 부착 가이드툴 아이폰 17 Pro, 3매입 1세트",2,1,1,9600,9600,47282961,462550776590;462550783100,2026-06-08 18:56,2026-06-09 12:54,2026-06-09 23:23,집하+도착+하차
2026-05-29,132855408,21585981,오하이 전면 3D 풀커버 TPU 지문방지 액정보호필름 3p + 부착 가이드툴 세트 갤럭시 S22 1세트,1,0,1,9600,9600,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2026-05-29,132855408,31729104,"오하이 지문방지 PET 무광필름 2매, 갤럭시S23플러스, 1세트",1,0,1,9600,9600,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2026-07-09,136435977,55705544,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S25울트라, 1세트",1,0,1,9600,9600,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2025-07-22,108984115,41241005,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰 X/XS/11프로, 1세트",4,3,1,9540,9540,37830167,459867546574,2025-07-25 18:43,2025-07-26 07:42,2025-07-28 11:13,집하+도착+하차
2025-08-04,109907583,41670025,"오하이 전면 3D 풀커버 TPU 지문방지 무광택 필름 3p + 부착 가이드툴, 갤럭시 S24플러스, 1세트",45,44,1,9540,9540,38157923,460028426653;460028430131;460028431424,2025-08-06 19:07,2025-08-07 11:15,2025-08-10 02:02,집하+도착+하차
2025-08-13,110689197,41241011,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰SE2/SE3, 1세트",1,0,1,9540,9540,38417031,460087480624,2025-08-18 19:35,2025-08-19 11:39,2025-08-21 09:33,집하+도착+하차
