발주일,발주번호,물류센터,상품번호,상품명,발송수량,쿠팡정산수량,미정산수량,매입단가,미정산금액,쿠팡정산금액,계산서번호,지급일,정산상태,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급,쿠팡정산수량_재판정,미정산금액_재판정,연령기준일,연령기준일출처,경과일수,연령버킷
2025-11-21,118356220,인천32,55707339,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25플러스, 1세트",7,0,7,9540,66780,0,,,정산명세에 없음(전량 미정산),41362686,460915725911;460915725922;460915725933;460915725944,2025-11-24 18:59,2025-11-25 13:26,2025-11-25 15:04,집하+도착+하차,0,66780,2025-11-25,①하차일(제3자),254,181~365일
2025-10-16,115484299,대구6,62178971,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17 1세트,26,20,6,10740,64440,214800,27417435,2025-12-19,정산됨(일부),40199928,460595151015,2025-10-17 19:32,2025-10-20 13:46,2025-10-20 11:40,집하+도착+하차,20,64440,2025-10-20,①하차일(제3자),290,181~365일
2026-01-09,121923846,창원1,19454771,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰12/12프로",6,0,6,10740,64440,0,,,정산명세에 없음(전량 미정산),42845819,461341289426;461341295741,2026-01-13 18:12,2026-01-15 10:46,2026-01-16 23:03,집하+도착+하차,0,64440,2026-01-16,①하차일(제3자),202,181~365일
2026-04-17,129398884,경기광주3,48102856,오하이 갤럭시 Z플립 6 저반사 지문방지 풀커버 액정보호필름 내부3매+외부3매 1세트,6,0,6,10700,64200,0,,,정산명세에 없음(전량 미정산),45738613,462179259614,2026-04-21 18:56,2026-04-22 14:48,2026-04-22 17:11,집하+도착+하차,0,64200,2026-04-22,①하차일(제3자),106,91~180일
2025-09-22,113919901,서울,35373961,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14, 1세트",16,11,5,11940,59700,131340,27260871,2025-12-01,정산됨(일부),39826499,460486567715;460486567726;460486567730;460486567741,2025-09-30 18:58,2025-10-02 10:10,2025-10-02 12:05,집하+도착+하차,11,59700,2025-10-02,①하차일(제3자),308,181~365일
2026-06-19,134649593,경기광주3,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",5,0,5,11940,59700,0,,,정산명세에 없음(전량 미정산),47755483,462664704902,2026-06-22 19:06,2026-06-23 09:31,2026-06-23 10:12,집하+도착+하차,0,59700,2026-06-23,①하차일(제3자),44,31~60일
2026-05-29,132854046,이천4,48562249,"[10매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 우드용, 1세트, 우드용 10매 88*30mm 단일색상",6,0,6,9000,54000,0,,,계산서 미발행(전량 미정산),47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착,0,54000,2026-06-09,②센터도착일(제3자),58,31~60일
2026-06-11,133986183,대구3,48562240,"[10매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 드라이버용, 1세트, 드라이버용 10매 95*48mm 단일색상",6,0,6,9000,54000,0,,,계산서 미발행(전량 미정산),47478372,462590765453;462590766606,2026-06-16 18:24,2026-06-17 12:37,2026-06-18 00:13,집하+도착+하차,0,54000,2026-06-18,①하차일(제3자),49,31~60일
2025-09-11,113127996,이천2,27686157,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰14프로맥스",10,5,5,10740,53700,53700,27059078,2025-11-17,정산됨(일부),39372559,460328270625;460328270636;460328270640;460328270651;460328270662;460328270673,2025-09-15 19:25,2025-09-17 11:36,2025-09-18 00:07,집하+도착+하차,5,53700,2025-09-18,①하차일(제3자),322,181~365일
2025-09-15,113351248,대구6,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",5,0,5,10740,53700,0,,,정산명세에 없음(전량 미정산),39552405,460380763920;460380766764,2025-09-19 18:09,2025-09-25 12:14,2025-09-25 16:27,집하+도착+하차,0,53700,2025-09-25,①하차일(제3자),315,181~365일
2025-09-15,113350948,인천14,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",5,0,5,10740,53700,0,,,정산명세에 없음(전량 미정산),39601451,460404750212,2025-09-23 19:18,2025-09-25 12:43,2025-09-25 13:23,집하+도착+하차,0,53700,2025-09-25,①하차일(제3자),315,181~365일
2025-09-22,113919588,경기광주3,50342952,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16",41,36,5,10740,53700,386640,27260871,2025-12-01,정산됨(일부),39834848,460489101052;460489101063;460489101074;460489101085,2025-09-30 18:58,2025-10-02 11:24,2025-10-02 16:12,집하+도착+하차,36,53700,2025-10-02,①하차일(제3자),308,181~365일
2025-09-28,114370547,고양1,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",143,138,5,10740,53700,1482120,27295681,2025-12-03,정산됨(일부),39881327,460500398853;460500398864;460500398875;460500398886;460500398890,2025-10-01 19:36,2025-10-04 15:31,2025-10-04 09:55,집하+도착+하차,138,53700,2025-10-04,①하차일(제3자),306,181~365일
2025-12-25,120916154,안산3,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",100,95,5,10740,53700,1020300,28256807,2026-02-26,정산됨(일부),42395338,461207619692;461207620650,2025-12-26 19:25,2025-12-27 11:15,2025-12-28 14:00,집하+도착+하차,95,53700,2025-12-28,①하차일(제3자),221,181~365일
2025-12-25,120915858,창원1,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,46,41,5,10740,53700,440340,28256807,2026-02-26,정산됨(일부),42396054,461207720470;461207720481;461207720492,2025-12-26 19:25,2025-12-27 10:02,2025-12-28 02:43,집하+도착+하차,41,53700,2025-12-28,①하차일(제3자),221,181~365일
2026-03-25,127566387,이천4,62178967,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로맥스 1세트,5,0,5,10740,53700,0,,,계산서 미발행(전량 미정산),44984115,461977832072,2026-03-27 19:05,2026-03-28 08:35,,집하+도착,0,53700,2026-03-28,②센터도착일(제3자),131,91~180일
2026-02-05,124147620,이천4,48102855,오하이 갤럭시 Z폴드6 저반사 지문방지 풀커버 액정보호필름 외부3매+내부 3매 1세트,4,0,4,12000,48000,0,,,정산명세에 없음(전량 미정산),43623477,461561623666;461561629443,2026-02-06 18:58,2026-02-13 10:59,2026-02-13 14:24,집하+도착+하차,0,48000,2026-02-13,①하차일(제3자),174,91~180일
2025-10-16,115487139,인천32,35373969,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14 프로맥스, 1세트",4,0,4,11940,47760,0,,,정산명세에 없음(전량 미정산),40278818,460619930131;460619930142;460619930153;460619930164;460619930175,2025-10-21 18:55,2025-10-22 13:44,2025-10-22 19:39,집하+도착+하차,0,47760,2025-10-22,①하차일(제3자),288,181~365일
2025-09-15,113350734,창원3,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",4,0,4,10740,42960,0,,,정산명세에 없음(전량 미정산),39601598,460404797370,2025-09-23 19:18,2025-09-24 10:11,2025-09-24 15:08,집하+도착+하차,0,42960,2025-09-24,①하차일(제3자),316,181~365일
2025-09-15,113351275,동탄1,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",4,0,4,10740,42960,0,,,정산명세에 없음(전량 미정산),39603921,460405288825;460405288836;460405288840;460405288851,2025-09-23 19:21,2025-09-25 11:22,2025-09-26 08:42,집하+도착+하차,0,42960,2025-09-26,①하차일(제3자),314,181~365일
2026-04-08,128667525,창원4,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,4,0,4,10740,42960,0,,,계산서 미발행(전량 미정산),45488020,462115601312,2026-04-13 19:04,2026-04-14 10:25,,집하+도착,0,42960,2026-04-14,②센터도착일(제3자),114,91~180일
2026-05-15,131669847,경기광주3,19454771,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰12/12프로",4,0,4,10740,42960,0,,,정산명세에 없음(전량 미정산),46625741,462394895513,2026-05-19 18:58,2026-05-20 12:41,2026-05-21 00:55,집하+도착+하차,0,42960,2026-05-21,①하차일(제3자),77,61~90일
2026-05-29,132854046,이천4,48562240,"[10매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 드라이버용, 1세트, 드라이버용 10매 95*48mm 단일색상",4,0,4,9000,36000,0,,,계산서 미발행(전량 미정산),47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착,0,36000,2026-06-09,②센터도착일(제3자),58,31~60일
2025-08-25,111681196,창원4,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",3,0,3,11940,35820,0,,,정산명세에 없음(전량 미정산),38913991,460212337793;460212337804;460212337815;460212337826,2025-09-01 19:14,2025-09-03 09:13,2025-09-05 15:13,집하+도착+하차,0,35820,2025-09-05,①하차일(제3자),335,181~365일
2026-06-12,134000097,대구3,41555864,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15, 1세트",3,0,3,11940,35820,0,,,정산명세에 없음(전량 미정산),47478372,462590765453;462590766606,2026-06-16 18:24,2026-06-17 12:37,2026-06-18 00:13,집하+도착+하차,0,35820,2026-06-18,①하차일(제3자),49,31~60일
2026-06-12,133999385,창원4,55013234,"[전기종]오하이 도어락 지문방지 사생활보호 범죄예방 문캅스필름 2매+간편부착, 1세트, 지문방지필름 단일상품",4,0,4,8600,34400,0,,,정산명세에 없음(전량 미정산),47534560,462608981236,2026-06-16 18:24,2026-06-17 12:45,2026-06-19 10:45,집하+도착+하차,0,34400,2026-06-19,①하차일(제3자),48,31~60일
2025-09-15,113351387,시흥2,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",3,0,3,10740,32220,0,,,정산명세에 없음(전량 미정산),39602299,460404955113,2025-09-23 19:18,2025-09-25 11:40,2025-09-25 17:10,집하+도착+하차,0,32220,2025-09-25,①하차일(제3자),315,181~365일
2025-09-24,114114697,창원1,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",3,0,3,10740,32220,0,,,계산서 미발행(전량 미정산),39838659,460489871240,2025-10-01 19:27,2025-10-02 10:49,2025-10-04 16:01,집하+도착+하차,0,32220,2025-10-04,①하차일(제3자),306,181~365일
2025-11-06,117217817,이천2,19454769,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰12미니",5,2,3,10740,32220,21480,27659862,2026-01-07,정산됨(일부),40889246,460778005564;460778005575;460778005586,2025-11-07 18:36,2025-11-10 11:35,2025-11-08 21:39,집하+도착+하차,2,32220,2025-11-08,①하차일(제3자),271,181~365일
2026-03-26,127637752,대구3,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",3,0,3,10740,32220,0,,,계산서 미발행(전량 미정산),45021095,461993678134;461993686302,2026-03-30 18:42,2026-03-31 12:27,2026-03-31 16:36,집하+도착+하차,0,32220,2026-03-31,①하차일(제3자),128,91~180일
2026-05-15,131670378,대구3,19454771,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰12/12프로",24,21,3,10740,32220,225540,29741561,2026-07-21,정산됨(일부),46625554,462394846852;462394848974,2026-05-18 18:51,2026-05-20 11:24,2026-05-22 02:57,집하+도착+하차,21,32220,2026-05-22,①하차일(제3자),76,61~90일
