platform_product_id,rev
12628761700,9900
12628779320,49500
12628779321,29700
12628842872,29700
12628842874,59400
12628842875,9900
12639838397,56000
12643407497,24000
12643618074,255810
12643777901,12000
12643946232,44000
12643967982,37500
12643987022,22500
12644526515,12000
12644628812,22000
12700410447,529010
12700421794,65600
12844557490,15900
12844557491,15900
12849503504,952100
12849503505,416500
12849503507,319000
12849503508,390600
12849503509,23700
12849621704,47700
12849684260,66600
12849684261,15900
12849684262,34800
12849684264,15900
13048846308,240200
13048846309,36800
13048846310,127400
13048951373,137000
13048951374,61700
13048951375,76000
13048951377,25800
13048951378,51600
13048951379,25800
13063860235,38700
13063860238,25800
13063860239,25800
13063860245,12900
13063860248,12900
13063860249,68500
13063914715,36800
13063944556,16900
13063944559,84500
13063944560,50700
13063944562,118300
13063944563,50700
13063944564,87500
13063944565,16900
13063944566,33800
13063944567,16900
13063944570,16900
13063944571,33800
13063944573,67600
13079412811,70600
13079412815,16900
13156013300,8924000
13156013301,2471900
13156013303,3851000
13346522238,8900
13346522239,26700
13346532817,9700
13346532819,9700
13346538144,14700
13346795945,30000
13346795946,15000
13346795947,15000
13346795948,15000
13346795950,15000
13346795953,15000
13346972745,30000
13346972746,15000
13346972747,30000
13346972748,30000
13346972750,15000
13346972751,15000
13346972754,45000
13346972760,15000
13346972762,15000
13346972764,30000
13347128586,8900
13347128590,8900
13347448471,17800
13347448473,8900
13347454852,45800
13347470803,8700
13347615402,98000
13347615403,19600
13347615404,35600
13347615405,71200
13347662625,39200
13348056067,63600
13348056069,95400
13348056070,111300
13348056071,63600
13348056072,47700
13348056074,254400
13348056075,31800
13348056076,95400
13348056077,238500
13348056078,47700
13348056079,95400
13348056080,79500
13348056081,31800
13348056082,95400
13348056085,95400
13348056086,31800
13348056087,47700
13348056088,31800
13348056089,15900
13348056091,15900
13348056092,15900
13348056093,31800
13348056095,47700
13348056097,47700
13348056098,15900
13348056099,15900
13348056100,31800
13359085591,15900
13359085592,79500
13359085593,15900
13359085595,47700
13359085596,79500
13359085597,79500
13359085598,79500
13359110489,782100
13359137316,31800
13359137319,15900
13359137322,79500
13365319468,270300
13563480014,1012000
13661073009,1347640
13661073010,6002690
13661073011,706420
13676281943,34800
13684462601,466440
13684462602,193200
13684462603,166400
13687558206,2419800
13687558207,238200
13687558208,113400
13702258112,20800
2402007467,918000
3207327235,15900
3422606249,17900
3529106282,17900
3574715648,9800
380396890,174900
380397804,7700700
4986857858,238500
5049807951,15900
5059485195,8900
5129534484,15900
5129555014,101400
5129833043,47700
5129833882,15900
5471733585,486000
5786510729,2166710
5786511512,3787100
5849693263,205500
5949677527,173310
6152124968,47700
6204580688,2312200
6286582527,238500
6286591735,431300
6286593796,79500
6290296347,79500
6290298710,318000
6325814520,35800
6325815144,49700
6418990211,7634300
6818043939,15900
6818086076,16100
6818113090,79500
6818140640,26700
6818287511,210200
6818291037,257200
6821566017,30000
6891081964,53400
7029691798,53400
7053845786,1783100
7119767278,40800
