adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-01-000000060868357,WEB_SITE,2.96,146,82557,97300,-25689.67,-175.96,band3,"[2.5,4)"
grp-a001-01-000000060868358,WEB_SITE,3.0567,162,43125,47540,-15340.08,-94.69,band3,"[2.5,4)"
grp-a001-01-000000060868899,WEB_SITE,2.5965,42,19347,111200,45644.23,1086.77,band1,"[2.5,4)"
grp-a001-01-000000061108461,WEB_SITE,2.3846,28,36480,152200,52473.83,1874.07,band1,<2.5
grp-a001-01-000000061871554,WEB_SITE,3.8338,3,7055,12900,484.45,161.48,band2,"[2.5,4)"
grp-a001-01-000000061883424,WEB_SITE,2.6013,4,3238,0,-3238.0,-809.5,band3,"[2.5,4)"
grp-a001-01-000000061883426,WEB_SITE,3.5268,3,3518,0,-3518.0,-1172.67,band3,"[2.5,4)"
grp-a001-01-000000061883430,WEB_SITE,2.9779,15,7560,0,-7560.0,-504.0,band3,"[2.5,4)"
grp-a001-01-000000061883437,WEB_SITE,2.9591,15,1885,0,-1885.0,-125.67,band3,"[2.5,4)"
grp-a001-01-000000061883438,WEB_SITE,2.5975,19,17660,16900,-7782.74,-409.62,band3,"[2.5,4)"
grp-a001-01-000000061883745,WEB_SITE,3.0232,9,6210,0,-6210.0,-690.0,band3,"[2.5,4)"
grp-a001-01-000000061883746,WEB_SITE,3.8058,9,17660,0,-17660.0,-1962.22,band3,"[2.5,4)"
grp-a001-01-000000061883792,WEB_SITE,3.1549,10,15760,33800,3994.53,399.45,band1,"[2.5,4)"
grp-a001-01-000000061883886,WEB_SITE,4.2949,18,2240,0,-2240.0,-124.44,band3,≥4
grp-a001-01-000000061883887,WEB_SITE,3.1195,19,2351,0,-2351.0,-123.74,band3,"[2.5,4)"
grp-a001-01-000000061883888,WEB_SITE,4.1113,18,9970,0,-9970.0,-553.89,band3,≥4
grp-a001-01-000000061883889,WEB_SITE,4.7138,19,2708,0,-2708.0,-142.53,band3,≥4
grp-a001-01-000000061883890,WEB_SITE,3.3743,18,7250,16900,2627.26,145.96,band1,"[2.5,4)"
grp-a001-01-000000061883891,WEB_SITE,3.6427,15,670,0,-670.0,-44.67,band3,"[2.5,4)"
grp-a001-01-000000061883892,WEB_SITE,3.8062,14,6370,16900,3507.26,250.52,band1,"[2.5,4)"
grp-a001-01-000000061883893,WEB_SITE,3.105,15,1858,0,-1858.0,-123.87,band3,"[2.5,4)"
grp-a001-01-000000061883895,WEB_SITE,3.0132,15,7150,0,-7150.0,-476.67,band3,"[2.5,4)"
grp-a001-01-000000061883896,WEB_SITE,3.9455,9,2210,0,-2210.0,-245.56,band3,"[2.5,4)"
grp-a001-01-000000061883897,WEB_SITE,3.8143,15,5176,0,-5176.0,-345.07,band3,"[2.5,4)"
